title,developer,app_size(MB),category_code,category,review_num,review_score,version,lang,lang_num,pricing,price(won),release_year,app_url
SleepTown,"SEEKRTECH CO., LTD.",170.0,6013,건강 및 피트니스,899,4.6,10.0,"한국어, 독일어, 러시아어, 스페인어, 영어, 일본어, 중국어(간체), 중국어(번체), 프랑스어",9,paid,2500,2017,https://apps.apple.com/kr/app/id1210251567
멤버십 위젯 Pro,jaejin lee,222.4,6015,금융,1500,4.8,10.0,"한국어, 영어, 일본어, 중국어(간체)",4,paid,3900,2016,https://apps.apple.com/kr/app/id1079178243
Notability,Ginger Labs,386.9,6007,생산성,25000,4.6,12.0,"한국어, 네덜란드어, 덴마크어, 독일어, 러시아어, 말레이어, 베트남어, 부크몰 노르웨이어, 스웨덴어, 스페인어, 영어, 우크라이나어, 이탈리아어, 인도네시아어, 일본어, 중국어(간체), 중국어(번체), 태국어, 터키어, 포르투갈어, 프랑스어",21,paid,11000,2010,https://apps.apple.com/kr/app/id360593530
Procreate Pocket,Savage Interactive Pty Ltd,289.7,6027,그래픽 및 디자인,226,3.5,12.0,"한국어, 독일어, 러시아어, 스페인어, 아랍어, 영어, 이탈리아어, 일본어, 중국어(간체), 중국어(번체), 터키어, 포르투갈어, 프랑스어",13,paid,5900,2014,https://apps.apple.com/kr/app/id916366645
아이언 마린 (Iron Marines),Ironhide S.A.,827.8,6014,게임,9200,4.9,9.0,"한국어, 러시아어, 영어, 일본어, 중국어(간체), 중국어(번체)",6,paid,3900,2017,https://apps.apple.com/kr/app/id1056920931
어썸노트 2 - 노트와 스케줄을 하나로,BRID,58.3,6007,생산성,303,3.8,9.0,"한국어, 네덜란드어, 독일어, 러시아어, 스웨덴어, 스페인어, 영어, 이탈리아어, 일본어, 중국어(간체), 중국어(번체), 프랑스어",12,paid,3900,2009,https://apps.apple.com/kr/app/id320203391
Age of History II,Lukasz Jakowski Games,534.9,6014,게임,112,2.6,,영어,1,paid,3900,2019,https://apps.apple.com/kr/app/id1453838527
Slayin,FDG Mobile Games GbR,21.5,6014,게임,102,4.4,8.0,영어,1,paid,900,2013,https://apps.apple.com/kr/app/id548580856
언더월드 오피스: 유령사무소,Buff Studio Co.Ltd.,607.0,6014,게임,65,4.8,10.0,영어,1,paid,7500,2020,https://apps.apple.com/kr/app/id1523265842
Rarevision VHS - Retro 80s Cam,Rarevision,16.5,6008,사진 및 비디오,45,4.2,8.0,"스페인어, 영어, 일본어",3,paid,4900,2015,https://apps.apple.com/kr/app/id679454835
SKYHILL,Daedalic Entertainment GmbH,283.6,6014,게임,89,3.2,8.1,"한국어, 독일어, 러시아어, 스페인어, 영어, 이탈리아어, 일본어, 중국어, 포르투갈어, 폴란드어, 프랑스어",11,paid,1200,2016,https://apps.apple.com/kr/app/id1055684003
VINYL : 사진 편집 앱,Dongjoon Yoon,193.6,6008,사진 및 비디오,213,4.8,13.0,"한국어, 영어, 일본어, 중국어(간체), 중국어(번체)",5,paid,2500,2020,https://apps.apple.com/kr/app/id1492887776
보안카드 위젯,Soojin Ro,6.8,6015,금융,2100,4.7,13.0,"한국어, 영어",2,paid,2500,2014,https://apps.apple.com/kr/app/id949362849
지겨워하지마: VIP,"CANDY SOFT, INC",139.6,6014,게임,248,3.8,8.0,"한국어, 영어, 일본어, 중국어(간체)",4,paid,500,2016,https://apps.apple.com/kr/app/id1106280018
언노운 나이츠,Aram Seo,269.5,6014,게임,59,4.8,13.0,"한국어, 영어, 일본어",3,paid,3900,2019,https://apps.apple.com/kr/app/id1459797573
watoo,OLIVESTONE Lab.,59.9,6012,라이프 스타일,109,4.3,11.0,"한국어, 영어, 일본어, 중국어, 중국어(간체), 중국어(번체)",6,paid,1200,2020,https://apps.apple.com/kr/app/id1514191119
Five Nights at Freddy's 2,"Clickteam, LLC",123.4,6014,게임,23,4.2,9.0,영어,1,paid,3900,2014,https://apps.apple.com/kr/app/id941143328
Downwell,Devolver,84.2,6014,게임,43,3.9,8.0,영어,1,paid,1200,2015,https://apps.apple.com/kr/app/id1032708262
ATracker PRO - 일간 과제와 시간 추적,WonderApps AB,114.2,6007,생산성,221,4.7,10.0,"한국어, 독일어, 러시아어, 스웨덴어, 스페인어, 영어, 이탈리아어, 일본어, 중국어(간체), 중국어(번체), 터키어, 포르투갈어, 프랑스어",13,paid,5900,2012,https://apps.apple.com/kr/app/id519561306
뷰포트 (Viewport),Sung-oh Park,332.8,6014,게임,34,4.7,11.0,"한국어, 영어",2,paid,2500,2019,https://apps.apple.com/kr/app/id1451790296
푸쉬업스타: 팔굽혀펴기 카운터,Youngwan Choi,120.7,6013,건강 및 피트니스,14,4.6,11.0,"한국어, 독일어, 영어, 일본어, 중국어(간체)",5,paid,4900,2020,https://apps.apple.com/kr/app/id1493744133
PL@Y2 - 프리미엄 티켓북,EntusApps,57.1,6012,라이프 스타일,124,4.1,9.0,"한국어, 영어",2,paid,2500,2016,https://apps.apple.com/kr/app/id1159328039
Rusty Lake Paradise KR,Rusty Lake,124.0,6014,게임,153,4.4,8.1,"한국어, 네덜란드어, 독일어, 러시아어, 스페인어, 영어, 이탈리아어, 일본어, 중국어(간체), 중국어(번체), 터키어, 포르투갈어, 폴란드어, 프랑스어",14,paid,3900,2019,https://apps.apple.com/kr/app/id1450399563
Geekbench 5,Primate Labs Inc.,117.1,6002,유틸리티,30,4.7,11.0,영어,1,paid,1200,2019,https://apps.apple.com/kr/app/id1435082259
5 STARS - 종합 리뷰 관리,Myung-Sang Park,184.2,6012,라이프 스타일,383,4.6,12.0,"한국어, 영어, 일본어",3,paid,2500,2018,https://apps.apple.com/kr/app/id1441294232
KMPlayer Plus (Divx Codec),"PandoraTV. CO.,LTD",85.0,6016,엔터테인먼트,12,4.0,9.0,"한국어, 그리스어, 네덜란드어, 덴마크어, 독일어, 라트비아어, 러시아어, 루마니아어, 리투아니아어, 말레이어, 베트남어, 부크몰 노르웨이어, 불가리아어, 세르비아어, 스와힐리어, 스웨덴어, 스페인어, 슬로바키아어, 슬로베니아어, 아랍어, 아프리칸스어, 암하라어, 에스토니아어, 영어, 우크라이나어, 이탈리아어, 인도네시아어, 일본어, 줄루, 중국어(간체), 중국어(번체), 체코어, 카탈로니아어, 크로아티아어, 태국어, 터키어, 페르시아어, 포르투갈어, 폴란드어, 프랑스어, 핀란드어, 헝가리어, 히브리어, 힌두어",44,paid,4900,2020,https://apps.apple.com/kr/app/id1520506334
Human Anatomy Atlas 2021,Visible Body,1500.0,6020,의료,1300,4.8,13.0,"독일어, 스페인어, 영어, 이탈리아어, 일본어, 중국어(간체), 프랑스어",7,paid,31000,2016,https://apps.apple.com/kr/app/id1117998129
Rummikub®,Kinkajoo Ltd,275.9,6014,게임,555,2.9,10.0,영어,1,paid,8900,2015,https://apps.apple.com/kr/app/id973113361
ShapeInfo Plus,Noriyasu Kutsuzawa,22.5,6007,생산성,6,4.3,10.0,"영어, 일본어",2,paid,1200,2015,https://apps.apple.com/kr/app/id983851989
Hipstamatic 카메라,"Hipstamatic, LLC",132.3,6008,사진 및 비디오,44,4.5,12.0,"한국어, 네덜란드어, 독일어, 러시아어, 말레이어, 스웨덴어, 스페인어, 영어, 이탈리아어, 인도네시아어, 일본어, 중국어(간체), 중국어(번체), 포르투갈어, 프랑스어",15,paid,2500,2009,https://apps.apple.com/kr/app/id342115564
English for Everyday Activities,Unidocs Inc.,113.6,6017,교육,3,2.7,9.0,영어,1,paid,3900,2012,https://apps.apple.com/kr/app/id494450419
식사일기 - 식단 기록 및 관리,SEUNG YEOP YEOM,8.6,6013,건강 및 피트니스,17,4.9,13.0,"한국어, 영어",2,paid,1200,2020,https://apps.apple.com/kr/app/id1537373989
GRID™ Autosport,Feral Interactive Ltd,4000.0,6014,게임,144,3.8,12.2,"독일어, 러시아어, 스페인어, 영어, 이탈리아어, 일본어, 중국어(간체), 포르투갈어, 폴란드어, 프랑스어",10,paid,12000,2017,https://apps.apple.com/kr/app/id1179421849
"위플 해빗 (Habit) - 습관 관리, 목표 달성",bumblebee,22.5,6007,생산성,68,4.2,8.0,"한국어, 독일어, 영어, 일본어, 중국어(간체)",5,paid,1200,2013,https://apps.apple.com/kr/app/id731337966
Love You To Bits,Alike Studio,423.7,6014,게임,474,4.9,8.0,"한국어, 독일어, 러시아어, 부크몰 노르웨이어, 스페인어, 영어, 이탈리아어, 일본어, 중국어(간체), 중국어(번체), 포르투갈어, 프랑스어",12,paid,1200,2016,https://apps.apple.com/kr/app/id941057494
강헌의 좌파명리학,jisung lee,112.4,6012,라이프 스타일,39,2.6,8.0,영어,1,paid,11000,2015,https://apps.apple.com/kr/app/id994419027
FREEZY - 냉장고 관리,Pil Gwon Kim,18.7,6012,라이프 스타일,28,4.5,13.0,"한국어, 영어",2,paid,500,2020,https://apps.apple.com/kr/app/id1511458141
카프리치오 (Capriccio),Junho Choi,44.0,6011,음악,146,3.5,11.0,"한국어, 영어",2,paid,1200,2011,https://apps.apple.com/kr/app/id434828497
달력 위젯 (calendar widget),HyeonJeong Kwon,2.6,6007,생산성,30,4.8,14.0,"한국어, 영어, 중국어(간체)",3,paid,1200,2020,https://apps.apple.com/kr/app/id1532631811
CampNight - 자연의 소리 수면 타이머,"SaltyCrackers Co., Ltd.",55.0,6012,라이프 스타일,26,4.8,8.0,영어,1,paid,500,2020,https://apps.apple.com/kr/app/id1511933716
Camera for OBS Studio,Loft Labs Interactive Inc,30.3,6007,생산성,55,4.4,9.3,영어,1,paid,20000,2018,https://apps.apple.com/kr/app/id1352834008
여백 / 공간이 주는 여유,Soo-Hyun Kwon,9.7,6008,사진 및 비디오,243,4.8,12.0,"한국어, 영어, 일본어, 중국어(간체)",4,paid,1200,2019,https://apps.apple.com/kr/app/id1477006071
어썸 보이스 레코더 - AVR PRO,"Newkline Co., Ltd.",68.4,6000,비즈니스,837,4.6,9.0,"한국어, 그리스어, 네덜란드어, 덴마크어, 독일어, 러시아어, 말레이어, 베트남어, 스웨덴어, 스페인어, 영어, 이탈리아어, 인도네시아어, 일본어, 중국어(간체), 중국어(번체), 태국어, 터키어, 포르투갈어, 폴란드어, 프랑스어, 핀란드어",22,paid,5900,2014,https://apps.apple.com/kr/app/id892393815
Pascal's Wager,Giant Network,2600.0,6014,게임,321,4.5,9.0,"한국어, 독일어, 러시아어, 스페인어, 영어, 이탈리아어, 일본어, 중국어(간체), 중국어(번체), 포르투갈어, 프랑스어",11,paid,8900,2020,https://apps.apple.com/kr/app/id1476649036
배경화면 최적화(Background Optimizer),KhunG System,9.0,6008,사진 및 비디오,21,2.8,12.3,"한국어, 영어, 일본어, 중국어(간체)",4,paid,2500,2013,https://apps.apple.com/kr/app/id775517253
금손카메라,Wonseok Oh,51.5,6008,사진 및 비디오,23,4.6,13.0,"한국어, 영어",2,paid,1200,2020,https://apps.apple.com/kr/app/id1498166648
Company of Heroes,Feral Interactive Ltd,4000.0,6014,게임,251,4.6,13.1,"한국어, 독일어, 러시아어, 스페인어, 영어, 이탈리아어, 일본어, 중국어(간체), 중국어(번체), 체코어, 폴란드어, 프랑스어",12,paid,17000,2020,https://apps.apple.com/kr/app/id1464645812
길고양이 이야기 support edition,Su Young Moon,194.2,6014,게임,114,4.3,9.0,"한국어, 영어, 일본어",3,paid,2500,2019,https://apps.apple.com/kr/app/id1459023116
Cluedo: The Official Edition,Marmalade Game Studio,1300.0,6014,게임,173,4.7,9.0,"독일어, 스페인어, 영어, 이탈리아어, 일본어, 프랑스어",6,paid,4900,2018,https://apps.apple.com/kr/app/id1238247658
AdGuard Pro — adblock&privacy,Performix,133.1,6002,유틸리티,210,4.4,10.0,"한국어, 네덜란드어, 덴마크어, 독일어, 러시아어, 루마니아어, 베로루시아어, 베트남어, 부크몰 노르웨이어, 세르비아어, 스페인어, 슬로바키아어, 슬로베니아어, 영어, 우크라이나어, 이탈리아어, 인도네시아어, 일본어, 중국어(간체), 중국어(번체), 체코어, 크로아티아어, 터키어, 페르시아어, 포르투갈어, 폴란드어, 프랑스어, 헝가리어",28,paid,12000,2016,https://apps.apple.com/kr/app/id1126386264
"myPass - 패스워드 관리, 보안카드 위젯",Youngsub Kim,11.5,6007,생산성,78,4.7,11.0,"한국어, 영어",2,paid,2500,2017,https://apps.apple.com/kr/app/id1265622473
RollerCoaster Tycoon® Classic,Atari,426.0,6014,게임,438,4.1,7.0,"독일어, 스페인어, 영어, 이탈리아어, 프랑스어",5,paid,7500,2016,https://apps.apple.com/kr/app/id1113736426
Hyper Light Drifter,Abylight S.L.,852.2,6014,게임,1100,4.8,13.0,"한국어, 독일어, 러시아어, 스페인어, 영어, 이탈리아어, 일본어, 중국어(간체), 중국어(번체), 터키어, 포르투갈어, 프랑스어",12,paid,5900,2019,https://apps.apple.com/kr/app/id1453875289
WolframAlpha,Wolfram Group LLC,23.5,6006,참고,43,4.1,12.0,영어,1,paid,3900,2009,https://apps.apple.com/kr/app/id334989259
ProCam 8,Samer Azzam,24.0,6008,사진 및 비디오,5100,4.7,11.0,"한국어, 독일어, 러시아어, 스페인어, 아랍어, 영어, 이탈리아어, 일본어, 중국어(간체), 중국어(번체), 터키어, 포르투갈어, 프랑스어",13,paid,8900,2013,https://apps.apple.com/kr/app/id730712409
To the Moon,X.D. Network Inc.,1400.0,6014,게임,317,4.1,9.0,"한국어, 독일어, 러시아어, 베트남어, 스페인어, 영어, 우크라이나어, 이탈리아어, 일본어, 중국어(간체), 중국어(번체), 터키어, 포르투갈어, 폴란드어, 프랑스어",15,paid,5900,2017,https://apps.apple.com/kr/app/id1159700098
아쿠아리움 타이쿤,Sol Choi,78.2,6014,게임,327,4.5,9.0,영어,1,paid,2500,2019,https://apps.apple.com/kr/app/id1492903299
Doodle God™,JoyBits Ltd.,133.9,6014,게임,256,4.4,8.0,"한국어, 네덜란드어, 독일어, 러시아어, 스웨덴어, 스페인어, 영어, 이탈리아어, 일본어, 중국어(간체), 포르투갈어, 폴란드어, 프랑스어",13,paid,500,2011,https://apps.apple.com/kr/app/id376374689
MONG LI,CHUNGNYUNG KANG,20.9,6008,사진 및 비디오,26,4.3,8.0,"한국어, 독일어, 스페인어, 영어, 이탈리아어, 일본어, 중국어(간체), 중국어(번체), 카탈로니아어, 태국어, 포르투갈어, 프랑스어",12,paid,1200,2019,https://apps.apple.com/kr/app/id1462754972
Beholder 2,"Alawar Entertainment, Inc",1800.0,6014,게임,96,4.7,11.0,"한국어, 독일어, 러시아어, 스페인어, 영어, 중국어(간체), 터키어, 폴란드어",8,paid,9900,2019,https://apps.apple.com/kr/app/id1424921366
Don't Starve: Pocket Edition,Klei,440.9,6014,게임,387,3.6,8.0,영어,1,paid,5900,2015,https://apps.apple.com/kr/app/id1012298403
Agent A - 숨겨진 퍼즐,Yak & co,811.9,6014,게임,2800,4.9,11.0,"한국어, 독일어, 러시아어, 스페인어, 영어, 이탈리아어, 일본어, 중국어(간체), 중국어(번체), 포르투갈어, 프랑스어",11,paid,7500,2015,https://apps.apple.com/kr/app/id940006911
감성공장,Sooyoung Choi,39.7,6007,생산성,13,2.8,9.3,"한국어, 베트남어, 스페인어, 영어, 일본어, 중국어(간체), 태국어",7,paid,1200,2016,https://apps.apple.com/kr/app/id1161241888
반교:디텐션,RedCandleGames,999.9,6014,게임,69,4.9,10.0,영어,1,paid,5900,2019,https://apps.apple.com/kr/app/id1456212639
Scanner Pro by Readdle,Readdle Inc.,128.9,6000,비즈니스,2300,4.8,11.0,"독일어, 러시아어, 스페인어, 영어, 이탈리아어, 일본어, 중국어(간체), 포르투갈어, 프랑스어",9,paid,4900,2009,https://apps.apple.com/kr/app/id333710667
Alien: Blackout,D3PA,581.0,6014,게임,81,4.0,8.0,"한국어, 독일어, 러시아어, 스페인어, 영어, 이탈리아어, 일본어, 포르투갈어, 프랑스어",9,paid,900,2019,https://apps.apple.com/kr/app/id1401510106
Monument Valley,ustwo games,700.1,6014,게임,381,4.5,9.0,"한국어, 네덜란드어, 독일어, 러시아어, 말레이어, 스웨덴어, 스페인어, 영어, 이탈리아어, 일본어, 중국어(간체), 중국어(번체), 태국어, 터키어, 포르투갈어, 프랑스어",16,paid,4900,2014,https://apps.apple.com/kr/app/id728293409
Speater (Smart Repeater),Sungyoon,5.3,6017,교육,206,4.1,9.1,"한국어, 영어, 일본어",3,paid,5900,2012,https://apps.apple.com/kr/app/id549627415
GRIS,Devolver,2500.0,6014,게임,90,4.4,10.0,"한국어, 독일어, 러시아어, 스페인어, 영어, 일본어, 중국어, 중국어(번체), 포르투갈어, 프랑스어",10,paid,2500,2019,https://apps.apple.com/kr/app/id1445379072
Die With Me,Dries Depoorter,8.1,6016,엔터테인먼트,6,4.5,8.0,영어,1,paid,900,2017,https://apps.apple.com/kr/app/id1317265106
Kingdom Rush Frontiers,Ironhide S.A.,234.3,6014,게임,3400,4.9,8.0,"한국어, 독일어, 러시아어, 스페인어, 영어, 일본어, 중국어(간체), 중국어(번체), 포르투갈어, 프랑스어",10,paid,2500,2013,https://apps.apple.com/kr/app/id598581396
Threema. The Secure Messenger,Threema GmbH,99.6,6005,소셜 네트워킹,1,5.0,10.0,"네덜란드어, 독일어, 러시아어, 레토로만어, 바스크어, 스페인어, 영어, 이탈리아어, 체코어, 터키어, 포르투갈어, 프랑스어",12,paid,3900,2012,https://apps.apple.com/kr/app/id578665578
CAMERA0 - 무음 고화질 매너 카메라 앱,Shota Nakagami,19.4,6008,사진 및 비디오,1200,4.7,11.0,"한국어, 영어, 일본어",3,paid,4900,2018,https://apps.apple.com/kr/app/id1444755520
LIMBO,Playdead,136.0,6014,게임,156,4.5,9.0,"한국어, 독일어, 러시아어, 스페인어, 영어, 이탈리아어, 일본어, 중국어(간체), 중국어(번체), 터키어, 포르투갈어, 폴란드어, 프랑스어",13,paid,4900,2013,https://apps.apple.com/kr/app/id656951157
투넘버 문자,remain.corp,37.0,6012,라이프 스타일,149,2.9,12.0,한국어,1,paid,2500,2017,https://apps.apple.com/kr/app/id1234443708
썸썸 편의점 방예나 After,talesshop,349.4,6014,게임,4,4.0,11.0,영어,1,paid,4900,2020,https://apps.apple.com/kr/app/id1542931708
iReal Pro,Technimo LLC,92.3,6011,음악,77,4.4,13.4,"한국어, 독일어, 스페인어, 영어, 이탈리아어, 일본어, 중국어(간체), 프랑스어",8,paid,17000,2008,https://apps.apple.com/kr/app/id298206806
프라임 영한/한영사전,"Dong-A publishing Co., Ltd",373.2,6006,참고,131,3.7,11.0,"한국어, 영어",2,paid,17000,2009,https://apps.apple.com/kr/app/id321431432
Splendor™: The Board Game,Asmodee Digital,160.6,6014,게임,168,1.8,9.0,"독일어, 영어, 프랑스어",3,paid,5900,2015,https://apps.apple.com/kr/app/id971215921
Mindustry,Anton Kramskoi,184.5,6014,게임,23,4.5,,영어,1,paid,1200,2018,https://apps.apple.com/kr/app/id1385258906
Tables - 그리드 플래너 & 스케줄 메모,"SaltyCrackers Co., Ltd.",56.8,6012,라이프 스타일,22,4.5,9.0,영어,1,paid,1200,2020,https://apps.apple.com/kr/app/id1537292587
Folar - 즉석 필름 카메라,Choongwhan Shin,116.9,6008,사진 및 비디오,114,3.9,9.3,영어,1,paid,1200,2017,https://apps.apple.com/kr/app/id1275258743
DayGram,"SaltyCrackers Co., Ltd.",50.3,6012,라이프 스타일,973,4.2,10.0,"한국어, 영어, 일본어, 중국어(간체), 중국어(번체)",5,paid,1200,2015,https://apps.apple.com/kr/app/id977949232
iContacts+: 그룹 연락처,Jeonghwan Kim,3.1,6002,유틸리티,311,4.2,12.0,"한국어, 독일어, 러시아어, 스페인어, 영어, 일본어, 중국어(간체), 프랑스어",8,paid,1200,2012,https://apps.apple.com/kr/app/id548506487
nPlayer Plus,Newin Inc.,103.7,6016,엔터테인먼트,12000,4.8,9.0,"한국어, 독일어, 러시아어, 스페인어, 아랍어, 영어, 일본어, 중국어(간체), 중국어(번체), 프랑스어",10,paid,11000,2012,https://apps.apple.com/kr/app/id539397400
TEDICT,CoCO SWING,33.8,6017,교육,3700,4.8,10.0,"한국어, 그리스어, 네덜란드어, 독일어, 러시아어, 말레이어, 베트남어, 스페인어, 아랍어, 영어, 이탈리아어, 인도네시아어, 일본어, 중국어, 중국어(간체), 중국어(번체), 태국어, 터키어, 포르투갈어, 프랑스어",20,paid,4900,2012,https://apps.apple.com/kr/app/id537961396
썸썸 편의점,talesshop,524.8,6014,게임,23,4.5,11.0,영어,1,paid,15000,2020,https://apps.apple.com/kr/app/id1524252426
WaterMinder,"Funn Media, LLC",316.1,6013,건강 및 피트니스,1200,4.7,12.2,"한국어, 네덜란드어, 독일어, 러시아어, 스페인어, 영어, 이탈리아어, 일본어, 중국어(간체), 중국어(번체), 체코어, 터키어, 포르투갈어, 폴란드어, 프랑스어, 헝가리어",16,paid,5900,2013,https://apps.apple.com/kr/app/id653031147
Word Master 워드마스터 중등 실력,ETOOS Education,78.7,6017,교육,15,2.4,11.0,영어,1,paid,3900,2016,https://apps.apple.com/kr/app/id1158673228
레이튼 교수와 악마의 상자 모바일 HD 리마스터,Level-5 Inc.,673.0,6014,게임,225,4.4,8.0,한국어,1,paid,12000,2019,https://apps.apple.com/kr/app/id1459831585
MyToday,Yun Sun Kwon,53.7,6012,라이프 스타일,761,4.4,12.0,"한국어, 영어",2,paid,2500,2016,https://apps.apple.com/kr/app/id1152234483
LumaFusion,Luma Touch LLC,160.2,6008,사진 및 비디오,7000,4.8,13.3,"한국어, 네덜란드어, 독일어, 러시아어, 스페인어, 영어, 이탈리아어, 일본어, 중국어(간체), 터키어, 프랑스어",11,paid,37000,2016,https://apps.apple.com/kr/app/id1062022008
THE KING OF FIGHTERS-i 2012,SNK CORPORATION,1200.0,6014,게임,319,2.5,9.0,영어,1,paid,3900,2014,https://apps.apple.com/kr/app/id507937883
북트리: 도서관리 & 독서노트,Youngwan Choi,76.3,6018,도서,165,4.4,11.0,"한국어, 영어",2,paid,3900,2012,https://apps.apple.com/kr/app/id551580603
오투잼 - 뮤직 & 게임,O2Jam Company,2300.0,6014,게임,543,3.6,8.0,영어,1,paid,3900,2019,https://apps.apple.com/kr/app/id1466765269
Poly Bridge,Dry Cactus,170.3,6014,게임,6500,4.9,9.0,"한국어, 독일어, 러시아어, 스페인어, 영어, 이탈리아어, 일본어, 중국어(간체), 중국어(번체), 포르투갈어, 프랑스어",11,paid,5900,2017,https://apps.apple.com/kr/app/id1197552569
60 Seconds! Atomic Adventure,Robot Gentleman sp. z o.o.,344.3,6014,게임,132,3.0,7.0,영어,1,paid,4900,2016,https://apps.apple.com/kr/app/id1072395467
Analog London,ordinaryfactory Inc.,31.2,6008,사진 및 비디오,470,3.0,9.3,영어,1,paid,1200,2015,https://apps.apple.com/kr/app/id1035219553
서울 2033 : 방공호,"banjihagames Co.,Ltd.",148.7,6014,게임,48,4.3,10.0,영어,1,paid,4900,2020,https://apps.apple.com/kr/app/id1526435650
"todo mate 투두 메이트 - 할 일 위젯, 알림",yoon sik kang,58.7,6007,생산성,393,4.7,13.0,영어,1,paid,1200,2020,https://apps.apple.com/kr/app/id1505220130
Fly Gps - GO,Mobile Apps Ltd,3.7,6016,엔터테인먼트,199,1.9,8.0,영어,1,paid,1200,2017,https://apps.apple.com/kr/app/id1203516586
Slay the Spire,Humble Bundle,1000.0,6014,게임,186,4.1,9.0,영어,1,paid,12000,2020,https://apps.apple.com/kr/app/id1491530147
Ski Safari,Defiant Development,161.4,6014,게임,115,4.2,8.0,영어,1,paid,500,2012,https://apps.apple.com/kr/app/id503092422
Gorogoa,Annapurna Interactive,630.7,6014,게임,108,4.7,9.0,영어,1,paid,900,2017,https://apps.apple.com/kr/app/id1269225754
Analog Portland,ordinaryfactory Inc.,30.7,6008,사진 및 비디오,207,3.0,9.3,영어,1,paid,1200,2015,https://apps.apple.com/kr/app/id952704587
Analog Acoustic,ordinaryfactory Inc.,48.8,6008,사진 및 비디오,489,1.7,8.0,"한국어, 독일어, 러시아어, 말레이어, 스페인어, 영어, 이탈리아어, 인도네시아어, 일본어, 중국어(간체), 중국어(번체), 태국어, 터키어, 포르투갈어, 프랑스어",15,paid,1200,2017,https://apps.apple.com/kr/app/id1282979041
Kingdom Rush Origins,Ironhide S.A.,305.1,6014,게임,1900,4.8,8.0,"한국어, 독일어, 러시아어, 스페인어, 영어, 일본어, 중국어(간체), 중국어(번체), 포르투갈어, 프랑스어",10,paid,3900,2014,https://apps.apple.com/kr/app/id904737816
Rebel Inc. (반란 주식회사),Ndemic Creations,248.2,6014,게임,4400,4.8,9.0,영어,1,paid,2500,2018,https://apps.apple.com/kr/app/id1439187947
한국사 능력,별책,116.0,6017,교육,93,4.5,13.0,"한국어, 영어",2,paid,3900,2019,https://apps.apple.com/kr/app/id1445502301
한컴오피스 모바일,Hancom Inc.,426.5,6000,비즈니스,815,2.3,11.0,"한국어, 네덜란드어, 독일어, 러시아어, 스웨덴어, 스페인어, 영어, 이탈리아어, 일본어, 중국어(간체), 중국어(번체), 페르시아어, 포르투갈어, 폴란드어, 프랑스어",15,paid,25000,2012,https://apps.apple.com/kr/app/id519619321
